change_id,ecosystem_tenure,review_tenure,reviews,added_lines,removed_lines,no_files,sources,blocking_tenure,blocking_activity
3,21,21,33,2321,0,33,1,3,1
6,1,0,5,5,5,5,0,0,1
12,0,0,4,8,8,4,0,0,1
13,9,9,96,8568,3000,96,1,2,2
19,41,38,2486,150106,0,2486,1,1,2
25,69,1,3056,127872,0,3056,1,1,1
26,3,3,16,64,16,16,1,1,1
27,0,0,120,2448,12396,120,1,0,1
35,283,283,42,966,84,42,1,0,1
43,16,12,1980,267080,200,1980,1,0,1
44,0,0,14,12,12,14,0,0,1
87,1,1,3520,147136,0,3520,1,1,1
88,0,0,21,133,224,21,0,0,1
100,453,453,114,114,228,114,1,182,1
111,78,78,36,432,0,36,0,78,1
117,100,100,7379,736913,1222,7379,1,100,1
121,0,0,18,126,372,18,1,0,1
123,65,65,3753,246807,0,3753,1,0,1
125,30,29,372,16188,240,372,1,0,1
126,107,100,440,14674,2860,440,1,98,2
131,6,6,168,6792,0,168,1,6,2
145,220,220,72,630,162,72,1,0,1
147,26,26,256,64,0,256,0,13,1
162,1,1,476,3723,663,476,1,1,1
167,112,112,6,6,0,6,0,0,1
174,45,0,26,1172,630,26,1,0,1
175,35,35,16,32,0,16,1,35,2
176,35,35,16,32,0,16,1,35,2
193,0,0,108,16890,0,108,1,0,1
195,1,1,8,964,0,8,1,0,1
196,0,0,108,16962,9,108,1,0,1
219,0,0,12,544,264,12,1,0,1
220,55,55,448,896,1664,448,1,46,3
230,1,1,18,276,24,18,0,0,1
231,1,0,30,34555,34185,30,0,0,1
238,243,243,513,171,171,513,1,230,1
240,0,0,6,6,6,6,0,0,1
245,7,7,5,5,5,5,1,3,1
257,125,0,77,7189,14,77,1,0,1
262,15,15,135,150,150,135,1,3,2
263,1039,979,208,16296,0,208,1,979,2
268,494,494,1365,138936,630,1365,0,385,1
274,1,1,44,60,60,44,1,0,1
320,7,7,99,1419,198,99,1,0,1
322,48,48,378,8001,4599,378,1,46,1
325,32,32,352,10582,2475,352,1,0,1
326,39,39,30,130,0,30,1,0,1
328,6,6,35,3175,105,35,1,0,1
329,69,69,1012,38709,16468,1012,1,0,1
330,46,46,102,396,942,102,1,0,1
331,33,33,6,174,156,6,1,0,1
344,131,131,456,33706,19760,456,1,130,1
347,77,77,200,1020,110,200,0,74,1
350,7,7,2,4,4,2,0,0,1
357,42,42,23042,926272,4428,23042,1,42,1
363,30,30,70,2860,40,70,1,0,1
367,1,1,5,40,5,5,0,1,1
387,168,168,52,52,52,52,1,168,1
388,168,168,104,2106,130,104,1,168,1
393,168,168,52,52,52,52,1,168,1
394,168,168,52,104,104,52,1,168,1
395,167,167,242,7018,4378,242,1,167,1
431,19,19,806,57824,1274,806,1,13,1
445,60,60,3565,138253,108882,3565,1,32,2
446,3,3,396,2394,936,396,1,1,1
454,81,20,702,18126,630,702,1,10,1
455,17,17,987,29379,3843,987,1,12,1
459,35,35,50,2035,125,50,0,0,2
464,7,7,196,24766,56,196,1,7,1
466,330,330,360,375,4065,360,1,155,1
467,237,216,20,120,60,20,1,212,1
478,195,195,360,504,504,360,1,195,1
494,83,82,2800,395836,22372,2800,1,79,1
495,49,41,742,27552,5250,742,1,4,1
498,2,2,155,1450,565,155,1,1,1
601,2,2,14,112,0,14,0,1,1
602,0,0,110,75,160,110,0,0,1
603,0,0,5,5,5,5,0,0,1
