c1,ecosystem_tenure,review_tenure,reviews,added_lines,removed_lines,no_files,sources,blocking_tenure,blocking_activity
23,18,18,28,5712,0,28,0,14,1
25,229,229,336,4032,147,336,1,228,1
46,26,26,5,0,0,5,1,26,1
72,0,0,36,66,108,36,1,0,1
78,12,6,27,117,0,27,1,6,1
94,15,15,18,36,0,18,0,15,1
95,0,0,4,16,8,4,0,0,1
101,3,3,14,910,1393,14,1,0,1
102,2,2,7,21,7,7,0,1,1
104,0,0,12,236,8,12,1,0,1
105,78,78,1178,23712,3268,1178,1,64,1
106,75,75,5452,332862,31291,5452,1,74,4
107,3,3,4,4,0,4,1,0,1
108,82,69,8,40,40,8,1,0,1
109,14,6,88,1416,64,88,1,6,1
110,32,31,162,7047,909,162,1,31,1
111,0,0,10,50,100,10,1,0,1
112,0,0,20,90,40,20,1,0,1
113,32,11,306,9792,0,306,1,1,1
114,1,1,20,160,60,20,1,0,1
115,0,0,10,20,20,10,0,0,1
116,5,5,24,728,800,24,1,0,1
117,2,2,20,90,30,20,1,0,1
118,0,0,36,180,168,36,1,0,1
119,0,0,18,594,0,18,1,0,1
120,0,0,10,300,20,10,1,0,1
121,0,0,10,10,10,10,1,0,1
122,0,0,28,252,28,28,1,0,1
123,0,0,20,140,40,20,1,0,1
124,0,0,10,20,30,10,1,0,1
125,0,0,10,40,90,10,1,0,1
126,33,33,24,48,24,24,1,0,1
127,1,1,10,20,20,10,1,0,1
128,0,0,600,1190,1190,600,1,0,1
129,0,0,430,1490,800,430,1,0,1
130,1,1,650,1010,1080,650,1,0,1
132,0,0,18,24,90,18,0,0,1
133,0,0,6,66,54,6,0,0,1
134,0,0,6,30,24,6,0,0,1
135,0,0,6,12,6,6,0,0,1
136,1,0,6,6,0,6,0,0,1
137,1,0,6,30,0,6,0,0,1
138,0,0,6,12,24,6,0,0,1
139,1,0,12,126,120,12,0,0,1
140,1,0,6,90,36,6,0,0,1
141,1,0,6,18,6,6,0,0,1
142,0,0,10,11790,0,10,0,0,1
143,1,0,132,1342,4763,132,1,0,1
144,0,0,10,120,70,10,1,0,1
145,0,0,10,680,0,10,1,0,1
146,1,0,320,344,344,320,0,0,1
147,0,0,40,320,140,40,0,0,1
148,0,0,27,81,0,27,1,0,1
149,0,0,2101,5566,8954,2101,1,0,1
150,27,27,84,266,336,84,0,0,1
151,0,0,80,60,220,80,1,0,1
153,2,1,182,2769,338,182,1,0,2
154,6,6,104,338,182,104,1,0,1
155,0,0,30,200,10,30,1,0,1
156,32,32,30,80,100,30,1,0,1
157,7,4,140,1904,140,140,1,0,1
158,0,0,110,250,260,110,1,0,1
159,1,0,40,260,50,40,1,0,1
160,1,1,407,759,759,407,0,0,1
161,1,0,72,504,126,72,1,0,1
162,2,2,1224,35496,816,1224,1,0,1
163,0,0,78,2232,1656,78,0,0,1
164,0,0,6,24,18,6,0,0,1
165,0,0,18,216,216,18,1,0,1
166,0,0,6,12,12,6,1,0,1
167,0,0,48,168,192,48,0,0,1
168,1,0,10,10,0,10,1,0,1
169,0,0,10,20,0,10,1,0,1
170,0,0,18,6,96,18,0,0,1
171,20,20,30,810,360,30,0,0,1
172,3,3,270,1080,378,270,1,0,1
173,0,0,21,42,0,21,1,0,1
174,0,0,18,1926,1926,18,1,0,1
175,32,32,18,18,18,18,1,0,1
176,3,3,10,30,0,10,0,0,1
177,0,0,220,10,4340,220,1,0,1
178,4,4,102,2244,4998,102,1,0,1
179,9,9,80,520,150,80,1,0,1
180,2,2,3492,17604,16596,3492,1,0,1
181,1,1,10,30,300,10,1,0,1
182,0,0,8,104,32,8,0,0,1
183,0,0,6,18,0,6,0,0,1
184,0,0,48,288,0,48,1,0,2
185,0,0,24,96,36,24,0,0,1
186,0,0,36,132,114,36,0,0,1
187,0,0,6,24,6,6,0,0,1
188,0,0,12,246,186,12,0,0,1
189,1,0,12,78,18,12,0,0,1
190,1,0,24,144,42,24,0,0,1
191,1,0,30,282,102,30,0,0,1
192,1,0,30,18,210,30,0,0,1
193,1,0,30,162,66,30,0,0,1
194,1,0,48,174,150,48,0,0,1
195,2,0,6,0,36,6,0,0,1
196,2,0,78,1968,1434,78,0,0,1
197,2,0,6,144,120,6,0,0,1
198,2,0,6,120,36,6,0,0,1
199,2,0,6,54,30,6,0,0,1
200,2,0,24,162,174,24,0,0,1
201,2,0,12,24,48,12,0,0,1
202,2,0,6,228,42,6,0,0,1
203,2,0,6,60,48,6,0,0,1
204,0,0,30,1068,198,30,0,0,1
205,2,2,54,783,783,54,0,2,2
206,1,1,10,10,30,10,1,0,1
207,1,1,10,10,10,10,1,0,1
208,3,3,88,1364,44,88,1,0,1
209,1,1,10,10,10,10,1,0,1
217,2,2,88,0,1188,88,1,0,1
222,23,23,1015,14065,2871,1015,1,1,1
223,1,1,168,648,168,168,1,0,1
224,1,1,10,110,0,10,1,0,1
225,0,0,24,168,96,24,1,0,1
226,1,1,10,10,10,10,0,0,1
227,0,0,77,649,44,77,1,0,1
228,3,3,24,139224,0,24,0,0,1
229,15,15,102,121890,0,102,0,0,1
230,3,3,24,105816,0,24,0,0,1
231,1,1,10,20,20,10,1,0,1
232,1,1,24,312,372,24,1,0,1
233,0,0,10,160,150,10,1,0,1
234,6,6,140,280,280,140,1,0,1
235,6,6,184,8648,552,184,1,0,1
236,6,6,252,2520,1764,252,1,0,1
237,6,6,266,2793,0,266,1,0,1
238,3,3,10,12130,0,10,0,0,1
239,0,0,10,20,20,10,1,0,1
240,0,0,6,48,48,6,0,0,1
241,1,1,32,232,472,32,0,0,1
242,0,0,10,40,180,10,1,0,1
243,0,0,10,10,10,10,1,0,1
244,0,0,20,60,60,20,0,0,1
245,0,0,24,0,144,24,1,0,1
246,1,1,24,768,24,24,0,0,1
247,7,7,102,816,0,102,1,0,1
248,2,1,40,210,20,40,1,0,1
249,22,0,12,12,12,12,1,0,2
250,14,14,264,836,528,264,1,0,1
251,0,0,40,2290,0,40,0,0,1
252,2,2,10,50,10,10,1,0,1
253,4,3,90,350,350,90,1,0,1
254,1,1,96,984,72,96,1,0,1
255,3,3,10,110,40,10,1,0,1
256,3,0,120,630,60,120,1,0,1
257,35,35,70,350,140,70,1,0,1
258,0,0,36,1746,594,36,1,0,1
259,22,22,30,50,30,30,1,0,1
260,0,0,20,970,20,20,1,0,1
261,19,19,150,3255,0,150,0,0,1
262,8,1,24,756,504,24,0,0,1
263,8,1,60,1656,264,60,0,0,1
264,23,23,54,459,54,54,1,0,1
265,1,1,216,1128,192,216,1,0,1
266,1,1,180,270,290,180,1,0,1
267,1,1,120,140,700,120,1,0,1
268,1,1,1330,2710,14260,1330,1,0,1
269,1,1,1420,4990,4530,1420,1,0,1
270,1,1,48,1164,132,48,0,0,1
271,1,1,10,10,10,10,1,0,1
273,1,1,280,1470,140,280,1,0,1
274,0,0,40,72,0,40,0,0,1
275,0,0,10,130,30,10,1,0,1
276,0,0,20,280,90,20,1,0,1
277,0,0,18,1890,1566,18,1,0,1
278,209,99,2592,104292,19404,2592,1,0,1
279,0,0,60,30,380,60,1,0,1
280,2,2,70,140,1050,70,1,0,1
281,0,0,20,480,320,20,1,0,1
282,0,0,36,828,90,36,1,0,1
283,0,0,96,336,192,96,1,0,1
284,10,10,3182,107892,11322,3182,1,0,1
285,0,0,36,0,72,36,1,0,1
286,1,1,165,363,209,165,1,0,1
287,1,1,1265,1914,6204,1265,1,0,1
288,1,1,528,912,3384,528,1,0,1
289,1,1,6,6,120,6,0,0,1
290,1,1,6,0,12,6,0,0,1
291,1,1,24,0,24,24,0,0,1
292,1,1,6,0,12,6,0,0,1
293,1,1,12,0,288,12,0,0,1
294,0,0,6,180,108,6,0,0,1
295,0,0,6,12,12,6,0,0,1
296,0,0,12,156,174,12,0,0,1
297,0,0,36,372,456,36,0,0,1
298,0,0,6,84,90,6,0,0,1
299,1,0,176,1232,1188,176,0,0,1
300,0,0,10,130,10,10,1,0,1
301,0,0,20,230,20,20,1,0,1
302,0,0,10,1810,640,10,1,0,1
303,0,0,27,2997,810,27,1,0,1
306,0,0,10,830,340,10,1,0,1
307,0,0,72,162,324,72,1,0,1
308,18,18,10,50,0,10,0,0,1
309,18,18,20,260,10,20,0,0,1
310,8,5,260,7930,5044,260,1,0,1
